wc,slide,wc_type,meeting_id
54,2,true,83512718053
62,3,true,83512718053
37,4,true,83512718053
43,5,true,83512718053
88,6,true,83512718053
17,7,true,83512718053
321,8,true,83512718053
64,9,true,83512718053
45,10,true,83512718053
34,11,true,83512718053
33,12,true,83512718053
155,13,true,83512718053
58,14,true,83512718053
35,15,true,83512718053
64,16,true,83512718053
35,17,true,83512718053
47,18,true,83512718053
67,19,true,83512718053
26,20,true,83512718053
44,21,true,83512718053
49,22,true,83512718053
44,23,true,83512718053
49,24,true,83512718053
57,25,true,83512718053
262,26,true,83512718053
193,27,true,83512718053
235,28,true,83512718053
173,29,true,83512718053
241,30,true,83512718053
256,31,true,83512718053
244,32,true,83512718053
202,33,true,83512718053
236,34,true,83512718053
214,35,true,83512718053
198,36,true,83512718053
218,37,true,83512718053
217,38,true,83512718053
55,39,true,83512718053
7,40,true,83512718053
13,41,true,83512718053
27,42,true,83512718053
35,43,true,83512718053
82,44,true,83512718053
41,45,true,83512718053
9,46,true,83512718053
15,47,true,83512718053
40,48,true,83512718053
54,2,pred,83512718053
63,3,pred,83512718053
37,4,pred,83512718053
43,5,pred,83512718053
88,6,pred,83512718053
17,7,pred,83512718053
320,8,pred,83512718053
64,9,pred,83512718053
45,10,pred,83512718053
34,11,pred,83512718053
33,12,pred,83512718053
154,13,pred,83512718053
58,14,pred,83512718053
35,15,pred,83512718053
64,16,pred,83512718053
35,17,pred,83512718053
47,18,pred,83512718053
67,19,pred,83512718053
26,20,pred,83512718053
45,21,pred,83512718053
49,22,pred,83512718053
44,23,pred,83512718053
49,24,pred,83512718053
57,25,pred,83512718053
262,26,pred,83512718053
202,27,pred,83512718053
244,28,pred,83512718053
209,29,pred,83512718053
55,30,pred,83512718053
7,31,pred,83512718053
13,32,pred,83512718053
27,33,pred,83512718053
36,34,pred,83512718053
82,35,pred,83512718053
41,36,pred,83512718053
9,37,pred,83512718053
15,38,pred,83512718053
40,39,pred,83512718053
37,2,true,160320
28,3,true,160320
92,4,true,160320
27,5,true,160320
21,6,true,160320
14,7,true,160320
19,8,true,160320
45,9,true,160320
38,10,true,160320
46,11,true,160320
62,12,true,160320
51,13,true,160320
74,14,true,160320
18,15,true,160320
12,16,true,160320
21,17,true,160320
8,18,true,160320
0,19,true,160320
37,2,pred,160320
28,3,pred,160320
89,4,pred,160320
27,5,pred,160320
95,6,pred,160320
88,7,pred,160320
45,8,pred,160320
38,9,pred,160320
46,10,pred,160320
62,11,pred,160320
51,12,pred,160320
74,13,pred,160320
17,14,pred,160320
0,15,pred,160320
54,2,true,220120
60,3,true,220120
52,4,true,220120
21,5,true,220120
51,6,true,220120
